"Province.State","Country.Region","Date","Fatalities"
"Arizona","US",2020-01-25,0
"Arkansas","US",2020-01-25,0
"California","US",2020-01-25,0
"Colorado","US",2020-01-25,0
"Connecticut","US",2020-01-25,0
"Delaware","US",2020-01-25,0
"District of Columbia","US",2020-01-25,0
"Florida","US",2020-01-25,0
"Georgia","US",2020-01-25,0
"Hawaii","US",2020-01-25,0
"Idaho","US",2020-01-25,0
"Illinois","US",2020-01-25,0
"Indiana","US",2020-01-25,0
"Iowa","US",2020-01-25,0
"Kansas","US",2020-01-25,0
"Kentucky","US",2020-01-25,0
"Louisiana","US",2020-01-25,0
"Maine","US",2020-01-25,0
"Maryland","US",2020-01-25,0
"Massachusetts","US",2020-01-25,0
"Michigan","US",2020-01-25,0
"Minnesota","US",2020-01-25,0
"Mississippi","US",2020-01-25,0
"Missouri","US",2020-01-25,0
"Montana","US",2020-01-25,0
"Nebraska","US",2020-01-25,0
"Nevada","US",2020-01-25,0
"New Hampshire","US",2020-01-25,0
"New Jersey","US",2020-01-25,0
"New Mexico","US",2020-01-25,0
"New York","US",2020-01-25,0
"North Carolina","US",2020-01-25,0
"North Dakota","US",2020-01-25,0
"Ohio","US",2020-01-25,0
"Oklahoma","US",2020-01-25,0
"Oregon","US",2020-01-25,0
"Pennsylvania","US",2020-01-25,0
"Rhode Island","US",2020-01-25,0
"South Carolina","US",2020-01-25,0
"South Dakota","US",2020-01-25,0
"Tennessee","US",2020-01-25,0
"Texas","US",2020-01-25,0
"Utah","US",2020-01-25,0
"Vermont","US",2020-01-25,0
"Virginia","US",2020-01-25,0
"Washington","US",2020-01-25,0
"West Virginia","US",2020-01-25,0
"Wisconsin","US",2020-01-25,0
"Wyoming","US",2020-01-25,0
"Diamond Princess","US",2020-01-25,0
"Grand Princess","US",2020-01-25,0
"American Samoa","US",2020-01-26,0
"Guam","US",2020-01-26,0
"Northern Mariana Islands","US",2020-01-26,0
"Puerto Rico","US",2020-01-26,0
"Virgin Islands","US",2020-01-26,0
"Alabama","US",2020-01-26,0
"Alaska","US",2020-01-26,0
"Arizona","US",2020-01-26,0
"Arkansas","US",2020-01-26,0
"California","US",2020-01-26,0
"Colorado","US",2020-01-26,0
"Connecticut","US",2020-01-26,0
"Delaware","US",2020-01-26,0
"District of Columbia","US",2020-01-26,0
"Florida","US",2020-01-26,0
"Georgia","US",2020-01-26,0
"Hawaii","US",2020-01-26,0
"Idaho","US",2020-01-26,0
"Illinois","US",2020-01-26,0
"Indiana","US",2020-01-26,0
"Iowa","US",2020-01-26,0
"Kansas","US",2020-01-26,0
"Kentucky","US",2020-01-26,0
"Louisiana","US",2020-01-26,0
"Maine","US",2020-01-26,0
"Maryland","US",2020-01-26,0
"Massachusetts","US",2020-01-26,0
"Michigan","US",2020-01-26,0
"Minnesota","US",2020-01-26,0
"Mississippi","US",2020-01-26,0
"Missouri","US",2020-01-26,0
"Montana","US",2020-01-26,0
"Nebraska","US",2020-01-26,0
"Nevada","US",2020-01-26,0
"New Hampshire","US",2020-01-26,0
"New Jersey","US",2020-01-26,0
"New Mexico","US",2020-01-26,0
"New York","US",2020-01-26,0
"North Carolina","US",2020-01-26,0
"North Dakota","US",2020-01-26,0
"Ohio","US",2020-01-26,0
"Oklahoma","US",2020-01-26,0
"Oregon","US",2020-01-26,0
"Pennsylvania","US",2020-01-26,0
"Rhode Island","US",2020-01-26,0
"South Carolina","US",2020-01-26,0
"South Dakota","US",2020-01-26,0
"Tennessee","US",2020-01-26,0
"Texas","US",2020-01-26,0
"Utah","US",2020-01-26,0
"Vermont","US",2020-01-26,0
"Virginia","US",2020-01-26,0
"Washington","US",2020-01-26,0
"West Virginia","US",2020-01-26,0
"Wisconsin","US",2020-01-26,0
"Wyoming","US",2020-01-26,0
"Diamond Princess","US",2020-01-26,0
"Grand Princess","US",2020-01-26,0
"American Samoa","US",2020-01-27,0
"Guam","US",2020-01-27,0
"Northern Mariana Islands","US",2020-01-27,0
"Puerto Rico","US",2020-01-27,0
"Virgin Islands","US",2020-01-27,0
"Alabama","US",2020-01-27,0
"Alaska","US",2020-01-27,0
"Arizona","US",2020-01-27,0
"Arkansas","US",2020-01-27,0
"California","US",2020-01-27,0
"Colorado","US",2020-01-27,0
"Connecticut","US",2020-01-27,0
"Delaware","US",2020-01-27,0
"District of Columbia","US",2020-01-27,0
"Florida","US",2020-01-27,0
"Georgia","US",2020-01-27,0
"Hawaii","US",2020-01-27,0
"Idaho","US",2020-01-27,0
"Illinois","US",2020-01-27,0
"Indiana","US",2020-01-27,0
"Iowa","US",2020-01-27,0
"Kansas","US",2020-01-27,0
"Kentucky","US",2020-01-27,0
"Louisiana","US",2020-01-27,0
"Maine","US",2020-01-27,0
"Maryland","US",2020-01-27,0
"Massachusetts","US",2020-01-27,0
"Michigan","US",2020-01-27,0
"Minnesota","US",2020-01-27,0
"Mississippi","US",2020-01-27,0
"Missouri","US",2020-01-27,0
"Montana","US",2020-01-27,0
"Nebraska","US",2020-01-27,0
"Nevada","US",2020-01-27,0
"New Hampshire","US",2020-01-27,0
"New Jersey","US",2020-01-27,0
"New Mexico","US",2020-01-27,0
"New York","US",2020-01-27,0
"North Carolina","US",2020-01-27,0
"North Dakota","US",2020-01-27,0
"Ohio","US",2020-01-27,0
"Oklahoma","US",2020-01-27,0
"Oregon","US",2020-01-27,0
"Pennsylvania","US",2020-01-27,0
"Rhode Island","US",2020-01-27,0
"South Carolina","US",2020-01-27,0
"South Dakota","US",2020-01-27,0
"Tennessee","US",2020-01-27,0
"Texas","US",2020-01-27,0
"Utah","US",2020-01-27,0
"Vermont","US",2020-01-27,0
"Virginia","US",2020-01-27,0
"Washington","US",2020-01-27,0
"West Virginia","US",2020-01-27,0
"Wisconsin","US",2020-01-27,0
"Wyoming","US",2020-01-27,0
"Diamond Princess","US",2020-01-27,0
"Grand Princess","US",2020-01-27,0
"American Samoa","US",2020-01-28,0
"Guam","US",2020-01-28,0
"Northern Mariana Islands","US",2020-01-28,0
"Puerto Rico","US",2020-01-28,0
"Virgin Islands","US",2020-01-28,0
"Alabama","US",2020-01-28,0
"Alaska","US",2020-01-28,0
"Arizona","US",2020-01-28,0
"Arkansas","US",2020-01-28,0
"California","US",2020-01-28,0
"Colorado","US",2020-01-28,0
"Connecticut","US",2020-01-28,0
"Delaware","US",2020-01-28,0
"District of Columbia","US",2020-01-28,0
"Florida","US",2020-01-28,0
"Georgia","US",2020-01-28,0
"Hawaii","US",2020-01-28,0
"Idaho","US",2020-01-28,0
"Illinois","US",2020-01-28,0
"Indiana","US",2020-01-28,0
"Iowa","US",2020-01-28,0
"Kansas","US",2020-01-28,0
"Kentucky","US",2020-01-28,0
"Louisiana","US",2020-01-28,0
"Maine","US",2020-01-28,0
"Maryland","US",2020-01-28,0
"Massachusetts","US",2020-01-28,0
"Michigan","US",2020-01-28,0
"Minnesota","US",2020-01-28,0
"Mississippi","US",2020-01-28,0
"Missouri","US",2020-01-28,0
"Montana","US",2020-01-28,0
"Nebraska","US",2020-01-28,0
"Nevada","US",2020-01-28,0
"New Hampshire","US",2020-01-28,0
"New Jersey","US",2020-01-28,0
"New Mexico","US",2020-01-28,0
"New York","US",2020-01-28,0
"North Carolina","US",2020-01-28,0
"North Dakota","US",2020-01-28,0
"Ohio","US",2020-01-28,0
"Oklahoma","US",2020-01-28,0
"Oregon","US",2020-01-28,0
"Pennsylvania","US",2020-01-28,0
"Rhode Island","US",2020-01-28,0
"South Carolina","US",2020-01-28,0
"South Dakota","US",2020-01-28,0
"Tennessee","US",2020-01-28,0
"Texas","US",2020-01-28,0
"Utah","US",2020-01-28,0
"Vermont","US",2020-01-28,0
"Virginia","US",2020-01-28,0
"Washington","US",2020-01-28,0
"West Virginia","US",2020-01-28,0
"Wisconsin","US",2020-01-28,0
"Wyoming","US",2020-01-28,0
"Diamond Princess","US",2020-01-28,0
"Grand Princess","US",2020-01-28,0
"American Samoa","US",2020-01-29,0
"Guam","US",2020-01-29,0
"Northern Mariana Islands","US",2020-01-29,0
"Puerto Rico","US",2020-01-29,0
"Virgin Islands","US",2020-01-29,0
"Alabama","US",2020-01-29,0
"Alaska","US",2020-01-29,0
"Arizona","US",2020-01-29,0
"Arkansas","US",2020-01-29,0
"California","US",2020-01-29,0
"Colorado","US",2020-01-29,0
"Connecticut","US",2020-01-29,0
"Delaware","US",2020-01-29,0
"District of Columbia","US",2020-01-29,0
"Florida","US",2020-01-29,0
"Georgia","US",2020-01-29,0
"Hawaii","US",2020-01-29,0
"Idaho","US",2020-01-29,0
"Illinois","US",2020-01-29,0
"Indiana","US",2020-01-29,0
"Iowa","US",2020-01-29,0
"Kansas","US",2020-01-29,0
"Kentucky","US",2020-01-29,0
"Louisiana","US",2020-01-29,0
"Maine","US",2020-01-29,0
"Maryland","US",2020-01-29,0
"Massachusetts","US",2020-01-29,0
"Michigan","US",2020-01-29,0
"Minnesota","US",2020-01-29,0
"Mississippi","US",2020-01-29,0
"Missouri","US",2020-01-29,0
"Montana","US",2020-01-29,0
"Nebraska","US",2020-01-29,0
"Nevada","US",2020-01-29,0
"New Hampshire","US",2020-01-29,0
"New Jersey","US",2020-01-29,0
"New Mexico","US",2020-01-29,0
"New York","US",2020-01-29,0
"North Carolina","US",2020-01-29,0
"North Dakota","US",2020-01-29,0
"Ohio","US",2020-01-29,0
"Oklahoma","US",2020-01-29,0
"Oregon","US",2020-01-29,0
"Pennsylvania","US",2020-01-29,0
"Rhode Island","US",2020-01-29,0
"South Carolina","US",2020-01-29,0
"South Dakota","US",2020-01-29,0
"Tennessee","US",2020-01-29,0
"Texas","US",2020-01-29,0
"Utah","US",2020-01-29,0
"Vermont","US",2020-01-29,0
"Virginia","US",2020-01-29,0
"Washington","US",2020-01-29,0
"West Virginia","US",2020-01-29,0
"Wisconsin","US",2020-01-29,0
"Wyoming","US",2020-01-29,0
"Diamond Princess","US",2020-01-29,0
"Grand Princess","US",2020-01-29,0
"American Samoa","US",2020-01-30,0
"Guam","US",2020-01-30,0
"Northern Mariana Islands","US",2020-01-30,0
"Puerto Rico","US",2020-01-30,0
"Virgin Islands","US",2020-01-30,0
"Alabama","US",2020-01-30,0
"Alaska","US",2020-01-30,0
"Arizona","US",2020-01-30,0
"Arkansas","US",2020-01-30,0
"California","US",2020-01-30,0
"Colorado","US",2020-01-30,0
"Connecticut","US",2020-01-30,0
"Delaware","US",2020-01-30,0
"District of Columbia","US",2020-01-30,0
"Florida","US",2020-01-30,0
"Georgia","US",2020-01-30,0
"Hawaii","US",2020-01-30,0
"Idaho","US",2020-01-30,0
"Illinois","US",2020-01-30,0
"Indiana","US",2020-01-30,0
"Iowa","US",2020-01-30,0
"Kansas","US",2020-01-30,0
"Kentucky","US",2020-01-30,0
"Louisiana","US",2020-01-30,0
"Maine","US",2020-01-30,0
"Maryland","US",2020-01-30,0
"Massachusetts","US",2020-01-30,0
"Michigan","US",2020-01-30,0
"Minnesota","US",2020-01-30,0
"Mississippi","US",2020-01-30,0
"Missouri","US",2020-01-30,0
"Montana","US",2020-01-30,0
"Nebraska","US",2020-01-30,0
"Nevada","US",2020-01-30,0
"New Hampshire","US",2020-01-30,0
"New Jersey","US",2020-01-30,0
"New Mexico","US",2020-01-30,0
"New York","US",2020-01-30,0
"North Carolina","US",2020-01-30,0
"North Dakota","US",2020-01-30,0
"Ohio","US",2020-01-30,0
"Oklahoma","US",2020-01-30,0
"Oregon","US",2020-01-30,0
"Pennsylvania","US",2020-01-30,0
"Rhode Island","US",2020-01-30,0
"South Carolina","US",2020-01-30,0
"South Dakota","US",2020-01-30,0
"Tennessee","US",2020-01-30,0
"Texas","US",2020-01-30,0
"Utah","US",2020-01-30,0
"Vermont","US",2020-01-30,0
"Virginia","US",2020-01-30,0
"Washington","US",2020-01-30,0
"West Virginia","US",2020-01-30,0
"Wisconsin","US",2020-01-30,0
"Wyoming","US",2020-01-30,0
"Diamond Princess","US",2020-01-30,0
"Grand Princess","US",2020-01-30,0
"American Samoa","US",2020-01-31,0
"Guam","US",2020-01-31,0
"Northern Mariana Islands","US",2020-01-31,0
"Puerto Rico","US",2020-01-31,0
"Virgin Islands","US",2020-01-31,0
"Alabama","US",2020-01-31,0
"Alaska","US",2020-01-31,0
"Arizona","US",2020-01-31,0
"Arkansas","US",2020-01-31,0
"California","US",2020-01-31,0
"Colorado","US",2020-01-31,0
"Connecticut","US",2020-01-31,0
"Delaware","US",2020-01-31,0
"District of Columbia","US",2020-01-31,0
"Florida","US",2020-01-31,0
"Georgia","US",2020-01-31,0
"Hawaii","US",2020-01-31,0
"Idaho","US",2020-01-31,0
"Illinois","US",2020-01-31,0
"Indiana","US",2020-01-31,0
"Iowa","US",2020-01-31,0
"Kansas","US",2020-01-31,0
"Kentucky","US",2020-01-31,0
"Louisiana","US",2020-01-31,0
"Maine","US",2020-01-31,0
"Maryland","US",2020-01-31,0
"Massachusetts","US",2020-01-31,0
"Michigan","US",2020-01-31,0
"Minnesota","US",2020-01-31,0
"Mississippi","US",2020-01-31,0
"Missouri","US",2020-01-31,0
"Montana","US",2020-01-31,0
"Nebraska","US",2020-01-31,0
"Nevada","US",2020-01-31,0
"New Hampshire","US",2020-01-31,0
"New Jersey","US",2020-01-31,0
"New Mexico","US",2020-01-31,0
"New York","US",2020-01-31,0
"North Carolina","US",2020-01-31,0
"North Dakota","US",2020-01-31,0
"Ohio","US",2020-01-31,0
"Oklahoma","US",2020-01-31,0
"Oregon","US",2020-01-31,0
"Pennsylvania","US",2020-01-31,0
"Rhode Island","US",2020-01-31,0
"South Carolina","US",2020-01-31,0
"South Dakota","US",2020-01-31,0
"Tennessee","US",2020-01-31,0
"Texas","US",2020-01-31,0
"Utah","US",2020-01-31,0
"Vermont","US",2020-01-31,0
"Virginia","US",2020-01-31,0
"Washington","US",2020-01-31,0
"West Virginia","US",2020-01-31,0
"Wisconsin","US",2020-01-31,0
"Wyoming","US",2020-01-31,0
"Diamond Princess","US",2020-01-31,0
"Grand Princess","US",2020-01-31,0
"American Samoa","US",2020-02-01,0
"Guam","US",2020-02-01,0
"Northern Mariana Islands","US",2020-02-01,0
"Puerto Rico","US",2020-02-01,0
"Virgin Islands","US",2020-02-01,0
"Alabama","US",2020-02-01,0
"Alaska","US",2020-02-01,0
"Arizona","US",2020-02-01,0
"Arkansas","US",2020-02-01,0
"California","US",2020-02-01,0
"Colorado","US",2020-02-01,0
"Connecticut","US",2020-02-01,0
"Delaware","US",2020-02-01,0
"District of Columbia","US",2020-02-01,0
"Florida","US",2020-02-01,0
"Georgia","US",2020-02-01,0
"Hawaii","US",2020-02-01,0
"Idaho","US",2020-02-01,0
"Illinois","US",2020-02-01,0
"Indiana","US",2020-02-01,0
"Iowa","US",2020-02-01,0
"Kansas","US",2020-02-01,0
"Kentucky","US",2020-02-01,0
"Louisiana","US",2020-02-01,0
"Maine","US",2020-02-01,0
"Maryland","US",2020-02-01,0
"Massachusetts","US",2020-02-01,0
"Michigan","US",2020-02-01,0
"Minnesota","US",2020-02-01,0
"Mississippi","US",2020-02-01,0
"Missouri","US",2020-02-01,0
"Montana","US",2020-02-01,0
"Nebraska","US",2020-02-01,0
"Nevada","US",2020-02-01,0
"New Hampshire","US",2020-02-01,0
"New Jersey","US",2020-02-01,0
"New Mexico","US",2020-02-01,0
"New York","US",2020-02-01,0
"North Carolina","US",2020-02-01,0
"North Dakota","US",2020-02-01,0
"Ohio","US",2020-02-01,0
"Oklahoma","US",2020-02-01,0
"Oregon","US",2020-02-01,0
"Pennsylvania","US",2020-02-01,0
"Rhode Island","US",2020-02-01,0
"South Carolina","US",2020-02-01,0
"South Dakota","US",2020-02-01,0
"Tennessee","US",2020-02-01,0
"Texas","US",2020-02-01,0
"Utah","US",2020-02-01,0
"Vermont","US",2020-02-01,0
"Virginia","US",2020-02-01,0
"Washington","US",2020-02-01,0
"West Virginia","US",2020-02-01,0
"Wisconsin","US",2020-02-01,0
"Wyoming","US",2020-02-01,0
"Diamond Princess","US",2020-02-01,0
"Grand Princess","US",2020-02-01,0
"American Samoa","US",2020-02-02,0
"Guam","US",2020-02-02,0
"Northern Mariana Islands","US",2020-02-02,0
"Puerto Rico","US",2020-02-02,0
"Virgin Islands","US",2020-02-02,0
"Alabama","US",2020-02-02,0
"Alaska","US",2020-02-02,0
"Arizona","US",2020-02-02,0
"Arkansas","US",2020-02-02,0
"California","US",2020-02-02,0
"Colorado","US",2020-02-02,0
"Connecticut","US",2020-02-02,0
"Delaware","US",2020-02-02,0
"District of Columbia","US",2020-02-02,0
"Florida","US",2020-02-02,0
"Georgia","US",2020-02-02,0
"Hawaii","US",2020-02-02,0
"Idaho","US",2020-02-02,0
"Illinois","US",2020-02-02,0
"Indiana","US",2020-02-02,0
"Iowa","US",2020-02-02,0
"Kansas","US",2020-02-02,0
"Kentucky","US",2020-02-02,0
"Louisiana","US",2020-02-02,0
"Maine","US",2020-02-02,0
"Maryland","US",2020-02-02,0
"Massachusetts","US",2020-02-02,0
"Michigan","US",2020-02-02,0
"Minnesota","US",2020-02-02,0
"Mississippi","US",2020-02-02,0
"Missouri","US",2020-02-02,0
"Montana","US",2020-02-02,0
"Nebraska","US",2020-02-02,0
"Nevada","US",2020-02-02,0
"New Hampshire","US",2020-02-02,0
"New Jersey","US",2020-02-02,0
"New Mexico","US",2020-02-02,0
"New York","US",2020-02-02,0
"North Carolina","US",2020-02-02,0
"North Dakota","US",2020-02-02,0
"Ohio","US",2020-02-02,0
"Oklahoma","US",2020-02-02,0
"Oregon","US",2020-02-02,0
"Pennsylvania","US",2020-02-02,0
"Rhode Island","US",2020-02-02,0
"South Carolina","US",2020-02-02,0
"South Dakota","US",2020-02-02,0
"Tennessee","US",2020-02-02,0
"Texas","US",2020-02-02,0
"Utah","US",2020-02-02,0
"Vermont","US",2020-02-02,0
"Virginia","US",2020-02-02,0
"Washington","US",2020-02-02,0
"West Virginia","US",2020-02-02,0
"Wisconsin","US",2020-02-02,0
"Wyoming","US",2020-02-02,0
"Diamond Princess","US",2020-02-02,0
"Grand Princess","US",2020-02-02,0
"American Samoa","US",2020-02-03,0
"Guam","US",2020-02-03,0
"Northern Mariana Islands","US",2020-02-03,0
"Puerto Rico","US",2020-02-03,0
"Virgin Islands","US",2020-02-03,0
"Alabama","US",2020-02-03,0
"Alaska","US",2020-02-03,0
"Arizona","US",2020-02-03,0
"Arkansas","US",2020-02-03,0
"California","US",2020-02-03,0
"Colorado","US",2020-02-03,0
"Connecticut","US",2020-02-03,0
"Delaware","US",2020-02-03,0
"District of Columbia","US",2020-02-03,0
"Florida","US",2020-02-03,0
"Georgia","US",2020-02-03,0
"Hawaii","US",2020-02-03,0
"Idaho","US",2020-02-03,0
"Illinois","US",2020-02-03,0
"Indiana","US",2020-02-03,0
"Iowa","US",2020-02-03,0
"Kansas","US",2020-02-03,0
"Kentucky","US",2020-02-03,0
"Louisiana","US",2020-02-03,0
"Maine","US",2020-02-03,0
"Maryland","US",2020-02-03,0
"Massachusetts","US",2020-02-03,0
"Michigan","US",2020-02-03,0
"Minnesota","US",2020-02-03,0
"Mississippi","US",2020-02-03,0
"Missouri","US",2020-02-03,0
"Montana","US",2020-02-03,0
"Nebraska","US",2020-02-03,0
"Nevada","US",2020-02-03,0
"New Hampshire","US",2020-02-03,0
"New Jersey","US",2020-02-03,0
"New Mexico","US",2020-02-03,0
"New York","US",2020-02-03,0
"North Carolina","US",2020-02-03,0
"North Dakota","US",2020-02-03,0
"Ohio","US",2020-02-03,0
"Oklahoma","US",2020-02-03,0
"Oregon","US",2020-02-03,0
"Pennsylvania","US",2020-02-03,0
"Rhode Island","US",2020-02-03,0
"South Carolina","US",2020-02-03,0
"South Dakota","US",2020-02-03,0
"Tennessee","US",2020-02-03,0
"Texas","US",2020-02-03,0
"Utah","US",2020-02-03,0
"Vermont","US",2020-02-03,0
"Virginia","US",2020-02-03,0
"Washington","US",2020-02-03,0
"West Virginia","US",2020-02-03,0
"Wisconsin","US",2020-02-03,0
"Wyoming","US",2020-02-03,0
"Diamond Princess","US",2020-02-03,0
"Grand Princess","US",2020-02-03,0
"American Samoa","US",2020-02-04,0
"Guam","US",2020-02-04,0
"Northern Mariana Islands","US",2020-02-04,0
"Puerto Rico","US",2020-02-04,0
"Virgin Islands","US",2020-02-04,0
"Alabama","US",2020-02-04,0
"Alaska","US",2020-02-04,0
"Arizona","US",2020-02-04,0
"Arkansas","US",2020-02-04,0
"California","US",2020-02-04,0
"Colorado","US",2020-02-04,0
"Connecticut","US",2020-02-04,0
"Delaware","US",2020-02-04,0
"District of Columbia","US",2020-02-04,0
"Florida","US",2020-02-04,0
"Georgia","US",2020-02-04,0
"Hawaii","US",2020-02-04,0
"Idaho","US",2020-02-04,0
"Illinois","US",2020-02-04,0
"Indiana","US",2020-02-04,0
"Iowa","US",2020-02-04,0
"Kansas","US",2020-02-04,0
"Kentucky","US",2020-02-04,0
"Louisiana","US",2020-02-04,0
"Maine","US",2020-02-04,0
"Maryland","US",2020-02-04,0
"Massachusetts","US",2020-02-04,0
"Michigan","US",2020-02-04,0
"Minnesota","US",2020-02-04,0
"Mississippi","US",2020-02-04,0
"Missouri","US",2020-02-04,0
"Montana","US",2020-02-04,0
"Nebraska","US",2020-02-04,0
"Nevada","US",2020-02-04,0
"New Hampshire","US",2020-02-04,0
"New Jersey","US",2020-02-04,0
